home_avgGoalsFor,home_avgGoalsAgainst,home_totalMatches,home_firstHalfAvgGoalsFor,home_firstHalfAvgGoalsAgainst,away_avgGoalsFor,away_avgGoalsAgainst,away_totalMatches,away_firstHalfAvgGoalsFor,away_firstHalfAvgGoalsAgainst,home_weighted_avgGoalsFor,home_weighted_avgGoalsAgainst,away_weighted_avgGoalsFor,away_weighted_avgGoalsAgainst,home_last8_avgGoalsFor,away_last8_avgGoalsFor,league_avgTotalGoals,league_avgHomeGoals,league_avgAwayGoals,goalsHome,goalsAway,totalGoals,firstHalfGoals,eventId,homeNick,awayNick
2.5510204081632653,2.61734693877551,196,1.3877551020408163,1.2653061224489797,2.2664233576642334,2.708029197080292,274,1.1897810218978102,1.3065693430656935,3.114,3.038,2.2119999999999997,2.747,2.5,1.75,5.11768154786833,2.592093140128989,2.525588407739342,3,3,6,4,,borees,Giox
2.008968609865471,2.515695067264574,446,0.9596412556053812,1.2309417040358743,2.331887201735358,2.4360086767895877,461,1.1540130151843817,1.1800433839479392,2.344,2.126,3.447,2.679,1.5,4.0,5.11768154786833,2.592093140128989,2.525588407739342,3,1,4,2,,maksdh,nekishka
2.4941634241245136,1.7665369649805447,257,1.2023346303501945,0.8949416342412452,2.5714285714285716,2.4545454545454546,462,1.251082251082251,1.199134199134199,2.7809999999999997,1.884,2.8,2.133,2.25,2.25,5.11768154786833,2.592093140128989,2.525588407739342,1,3,4,1,,zoyir,volvo
2.967289719626168,2.892523364485981,214,1.3224299065420562,1.3831775700934579,3.146131805157593,2.530085959885387,349,1.5730659025787965,1.2063037249283668,3.152,2.8309999999999995,3.215,2.485,3.75,3.75,5.11768154786833,2.592093140128989,2.525588407739342,1,2,3,2,,Koftovsky,dor1an
1.7891373801916932,2.2715654952076676,313,0.8753993610223643,1.2364217252396166,2.688046647230321,2.361516034985423,343,1.3615160349854227,1.154518950437318,1.932,2.442,2.6449999999999996,2.142,1.5,2.25,5.11768154786833,2.592093140128989,2.525588407739342,2,2,4,2,,MeLToSik,labotryas
2.6593059936908516,2.867507886435331,317,1.3091482649842272,1.3659305993690851,2.6051136363636362,2.877840909090909,352,1.3295454545454546,1.4204545454545454,2.667,2.653,2.533,2.974,2.25,3.5,5.11768154786833,2.592093140128989,2.525588407739342,5,3,8,4,,lzrn,aguuero
2.4695652173913043,2.255072463768116,345,1.1710144927536232,1.208695652173913,2.5510204081632653,2.61734693877551,196,1.3877551020408163,1.2653061224489797,2.798,2.973,3.114,3.038,2.375,2.5,5.11768154786833,2.592093140128989,2.525588407739342,1,4,5,2,,Duka,borees
2.5714285714285716,2.4545454545454546,462,1.251082251082251,1.199134199134199,2.008968609865471,2.515695067264574,446,0.9596412556053812,1.2309417040358743,2.8,2.133,2.344,2.126,2.25,1.5,5.11768154786833,2.592093140128989,2.525588407739342,2,1,3,0,,volvo,maksdh
2.331887201735358,2.4360086767895877,461,1.1540130151843817,1.1800433839479392,2.6522727272727273,2.1340909090909093,440,1.2727272727272727,1.0159090909090909,3.447,2.679,2.367,2.243,4.0,1.875,5.11768154786833,2.592093140128989,2.525588407739342,2,3,5,3,,nekishka,deroll
2.6522727272727273,2.1340909090909093,440,1.2727272727272727,1.0159090909090909,2.5714285714285716,2.4545454545454546,462,1.251082251082251,1.199134199134199,2.367,2.243,2.8,2.133,1.875,2.25,5.11768154786833,2.592093140128989,2.525588407739342,3,1,4,2,,deroll,volvo
